Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:30:43.17;0.00:00:00:049;0.00;1.00;0.00;6.718;-0.02151;6.576;-0.0109;45.09;-0.05;97.88;0.16;97.88;6.718;6.576;0.1423;8.273;8.180;-8.467;0.50;-0.09;
2026-01-22 16:30:43.22;0.00:00:00:097;0.00;1.00;0.00;6.713;-0.02318;6.571;-0.011;45.10;-0.05;97.88;0.16;97.88;6.713;6.571;0.142;8.269;8.176;-8.476;0.50;-0.10;
2026-01-22 16:30:43.27;0.00:00:00:145;0.00;1.00;0.00;6.718;-0.02338;6.575;-0.009819;45.10;-0.04;97.87;0.15;97.87;6.718;6.575;0.1429;8.272;8.179;-8.450;0.50;-0.09;
2026-01-22 16:30:43.32;0.00:00:00:196;0.00;1.00;0.00;6.722;-0.02293;6.58;-0.01022;45.10;-0.04;97.88;0.15;97.88;6.722;6.58;0.1425;8.275;8.182;-8.462;0.50;-0.09;
2026-01-22 16:30:43.37;0.00:00:00:245;0.00;1.00;0.00;6.723;-0.02235;6.58;-0.01047;45.10;-0.05;97.88;0.16;97.88;6.723;6.58;0.1424;8.276;8.183;-8.465;0.50;-0.09;
2026-01-22 16:30:43.42;0.00:00:00:292;0.00;1.00;0.00;6.718;-0.02137;6.574;-0.01136;45.09;-0.05;97.86;0.17;97.86;6.718;6.574;0.1438;8.272;8.178;-8.423;0.50;-0.10;
2026-01-22 16:30:43.47;0.00:00:00:344;0.00;1.00;0.00;6.714;-0.02269;6.571;-0.01071;45.10;-0.05;97.88;0.16;97.88;6.714;6.571;0.1425;8.270;8.176;-8.462;0.50;-0.09;
2026-01-22 16:30:43.51;0.00:00:00:390;0.00;1.00;0.00;6.715;-0.02224;6.572;-0.01043;45.10;-0.05;97.87;0.16;97.87;6.715;6.572;0.1432;8.271;8.177;-8.439;0.50;-0.09;
2026-01-22 16:30:43.56;0.00:00:00:438;0.00;1.00;0.00;6.715;-0.02296;6.573;-0.01057;45.10;-0.05;97.89;0.16;97.89;6.715;6.573;0.1417;8.270;8.178;-8.487;0.50;-0.09;
2026-01-22 16:30:43.61;0.00:00:00:487;0.00;1.00;0.00;6.713;-0.02319;6.571;-0.01053;45.10;-0.05;97.88;0.16;97.88;6.713;6.571;0.1423;8.269;8.176;-8.468;0.50;-0.09;
2026-01-22 16:30:43.66;0.00:00:00:534;0.00;1.00;0.00;6.714;-0.0226;6.571;-0.01036;45.10;-0.05;97.87;0.15;97.87;6.714;6.571;0.1428;8.270;8.176;-8.454;0.50;-0.09;
2026-01-22 16:30:43.71;0.00:00:00:583;0.00;1.00;0.00;6.712;-0.02322;6.569;-0.01054;45.10;-0.05;97.87;0.16;97.87;6.712;6.569;0.1431;8.269;8.175;-8.445;0.50;-0.09;
2026-01-22 16:30:43.76;0.00:00:00:632;0.00;1.00;0.00;6.714;-0.02173;6.571;-0.011;45.09;-0.05;97.87;0.16;97.87;6.714;6.571;0.1428;8.270;8.176;-8.454;0.50;-0.10;
2026-01-22 16:30:43.80;0.00:00:00:678;0.00;1.00;0.00;6.716;-0.02287;6.573;-0.01089;45.10;-0.05;97.88;0.16;97.88;6.716;6.573;0.1424;8.271;8.178;-8.465;0.50;-0.09;
2026-01-22 16:30:43.85;0.00:00:00:728;0.00;1.00;0.00;6.715;-0.02137;6.571;-0.01087;45.09;-0.05;97.87;0.16;97.87;6.715;6.571;0.1432;8.270;8.177;-8.441;0.50;-0.09;
2026-01-22 16:30:43.90;0.00:00:00:777;0.00;1.00;0.00;6.715;-0.02267;6.573;-0.01026;45.10;-0.04;97.88;0.15;97.88;6.715;6.573;0.1426;8.271;8.177;-8.458;0.50;-0.09;
2026-01-22 16:30:43.95;0.00:00:00:826;0.00;1.00;0.00;6.719;-0.02382;6.576;-0.01014;45.10;-0.04;97.87;0.15;97.87;6.719;6.576;0.143;8.273;8.180;-8.448;0.50;-0.09;
2026-01-22 16:30:44.00;0.00:00:00:877;0.00;1.00;0.00;6.725;-0.02289;6.582;-0.01048;45.10;-0.05;97.88;0.16;97.88;6.725;6.582;0.1423;8.277;8.184;-8.469;0.50;-0.09;
2026-01-22 16:30:44.05;0.00:00:00:926;0.00;1.00;0.00;6.723;-0.02307;6.581;-0.01057;45.10;-0.05;97.88;0.16;97.88;6.723;6.581;0.1424;8.276;8.183;-8.465;0.50;-0.09;
2026-01-22 16:30:44.10;0.00:00:00:976;0.00;1.00;0.00;6.722;-0.02136;6.578;-0.01124;45.09;-0.05;97.87;0.17;97.87;6.722;6.578;0.1434;8.275;8.181;-8.433;0.50;-0.10;
2026-01-22 16:30:44.15;0.00:00:01:026;0.00;1.00;0.00;6.716;-0.02244;6.573;-0.01102;45.10;-0.05;97.87;0.16;97.87;6.716;6.573;0.1428;8.271;8.178;-8.453;0.50;-0.10;
2026-01-22 16:30:44.20;0.00:00:01:075;0.00;1.00;0.00;6.717;-0.02241;6.574;-0.01049;45.10;-0.05;97.87;0.16;97.87;6.717;6.574;0.1432;8.272;8.178;-8.442;0.50;-0.09;
2026-01-22 16:30:44.25;0.00:00:01:126;0.00;1.00;0.00;6.717;-0.02131;6.574;-0.01106;45.09;-0.05;97.87;0.16;97.87;6.717;6.574;0.143;8.272;8.178;-8.448;0.50;-0.10;
2026-01-22 16:30:44.30;0.00:00:01:175;0.00;1.00;0.00;6.715;-0.02313;6.573;-0.01073;45.10;-0.05;97.88;0.16;97.88;6.715;6.573;0.1425;8.271;8.177;-8.461;0.50;-0.09;
2026-01-22 16:30:44.35;0.00:00:01:222;0.00;1.00;0.00;6.727;-0.02319;6.584;-0.009375;45.10;-0.04;97.87;0.14;97.87;6.727;6.584;0.1431;8.278;8.185;-8.442;0.50;-0.08;
2026-01-22 16:30:44.39;0.00:00:01:271;0.00;1.00;0.00;6.734;-0.02374;6.592;-0.01032;45.10;-0.04;97.88;0.15;97.88;6.734;6.592;0.1424;8.283;8.190;-8.464;0.50;-0.09;
2026-01-22 16:30:44.44;0.00:00:01:320;0.00;1.00;0.00;6.73;-0.02218;6.589;-0.0117;45.10;-0.05;97.90;0.17;97.90;6.73;6.589;0.1414;8.280;8.188;-8.496;0.50;-0.10;
2026-01-22 16:30:44.49;0.00:00:01:368;0.00;1.00;0.00;6.723;-0.02183;6.58;-0.01103;45.10;-0.05;97.88;0.16;97.87;6.723;6.581;0.1429;8.276;8.183;-8.451;0.50;-0.10;
2026-01-22 16:30:44.54;0.00:00:01:418;0.00;1.00;0.00;6.722;-0.02232;6.579;-0.01065;45.10;-0.05;97.88;0.16;97.88;6.722;6.579;0.1424;8.275;8.182;-8.465;0.50;-0.09;
2026-01-22 16:30:44.59;0.00:00:01:465;0.00;1.00;0.00;6.721;-0.02237;6.578;-0.01073;45.10;-0.05;97.88;0.16;97.88;6.721;6.578;0.1425;8.274;8.181;-8.463;0.50;-0.09;
2026-01-22 16:30:44.64;0.00:00:01:513;0.00;1.00;0.00;6.719;-0.02269;6.577;-0.01091;45.10;-0.05;97.88;0.16;97.88;6.719;6.577;0.1424;8.273;8.180;-8.466;0.50;-0.10;
2026-01-22 16:30:44.69;0.00:00:01:563;0.00;1.00;0.00;6.703;-0.02156;6.562;-0.01146;45.09;-0.05;97.89;0.17;97.89;6.703;6.562;0.1415;8.263;8.170;-8.491;0.50;-0.10;
2026-01-22 16:30:44.74;0.00:00:01:612;0.00;1.00;0.00;6.7;-0.02276;6.558;-0.01073;45.10;-0.05;97.88;0.16;97.88;6.7;6.558;0.1421;8.261;8.168;-8.475;0.50;-0.09;
2026-01-22 16:30:44.78;0.00:00:01:660;0.00;1.00;0.00;6.702;-0.02342;6.558;-0.01039;45.10;-0.05;97.86;0.16;97.86;6.702;6.558;0.1437;8.262;8.168;-8.427;0.50;-0.09;
2026-01-22 16:30:44.83;0.00:00:01:710;0.00;1.00;0.00;6.704;-0.0223;6.56;-0.01046;45.10;-0.05;97.85;0.16;97.85;6.704;6.56;0.1442;8.263;8.169;-8.410;0.50;-0.09;
2026-01-22 16:30:44.88;0.00:00:01:756;0.00;1.00;0.00;6.705;-0.02272;6.562;-0.01096;45.10;-0.05;97.87;0.16;97.87;6.705;6.562;0.1429;8.264;8.170;-8.449;0.50;-0.10;
2026-01-22 16:30:44.93;0.00:00:01:807;0.00;1.00;0.00;6.702;-0.0227;6.56;-0.01058;45.10;-0.05;97.88;0.16;97.88;6.702;6.56;0.1423;8.262;8.169;-8.466;0.50;-0.09;
2026-01-22 16:30:44.98;0.00:00:01:856;0.00;1.00;0.00;6.701;-0.02202;6.558;-0.0106;45.10;-0.05;97.87;0.16;97.87;6.701;6.558;0.1425;8.261;8.168;-8.461;0.50;-0.09;
2026-01-22 16:30:45.03;0.00:00:01:906;0.00;1.00;0.00;6.702;-0.02307;6.56;-0.01007;45.10;-0.04;97.88;0.15;97.88;6.702;6.56;0.1423;8.262;8.169;-8.469;0.50;-0.09;
2026-01-22 16:30:45.08;0.00:00:01:958;0.00;1.00;0.00;6.707;-0.02188;6.565;-0.0106;45.10;-0.05;97.88;0.16;97.88;6.707;6.565;0.1422;8.265;8.172;-8.471;0.50;-0.09;
2026-01-22 16:30:45.13;0.00:00:02:004;0.00;1.00;0.00;6.704;-0.02342;6.563;-0.01074;45.10;-0.05;97.89;0.16;97.89;6.704;6.563;0.1415;8.263;8.171;-8.492;0.50;-0.09;
2026-01-22 16:30:45.18;0.00:00:02:052;0.00;1.00;0.00;6.704;-0.02212;6.561;-0.01076;45.10;-0.05;97.86;0.16;97.86;6.704;6.561;0.1435;8.263;8.170;-8.432;0.50;-0.09;
2026-01-22 16:30:45.23;0.00:00:02:102;0.00;1.00;0.00;6.709;-0.02203;6.566;-0.01062;45.10;-0.05;97.87;0.16;97.87;6.709;6.566;0.1431;8.267;8.173;-8.442;0.50;-0.09;
2026-01-22 16:30:45.27;0.00:00:02:150;0.00;1.00;0.00;6.71;-0.02232;6.567;-0.01072;45.10;-0.05;97.87;0.16;97.87;6.71;6.567;0.1428;8.267;8.174;-8.452;0.50;-0.09;
2026-01-22 16:30:45.32;0.00:00:02:198;0.00;1.00;0.00;6.714;-0.02278;6.571;-0.01032;45.10;-0.04;97.87;0.15;97.87;6.714;6.571;0.1432;8.270;8.176;-8.440;0.50;-0.09;
2026-01-22 16:30:45.37;0.00:00:02:247;0.00;1.00;0.00;6.716;-0.02288;6.573;-0.01101;45.10;-0.05;97.88;0.16;97.88;6.716;6.573;0.1423;8.271;8.178;-8.469;0.50;-0.10;
2026-01-22 16:30:45.42;0.00:00:02:295;0.00;1.00;0.00;6.71;-0.0235;6.568;-0.0111;45.10;-0.05;97.90;0.17;97.90;6.71;6.569;0.1412;8.267;8.175;-8.502;0.50;-0.10;
2026-01-22 16:30:45.47;0.00:00:02:346;0.00;1.00;0.00;6.707;-0.02289;6.565;-0.01068;45.10;-0.05;97.87;0.16;97.87;6.707;6.565;0.1427;8.266;8.172;-8.455;0.50;-0.09;
2026-01-22 16:30:45.52;0.00:00:02:393;0.00;1.00;0.00;6.709;-0.02251;6.566;-0.01058;45.10;-0.05;97.87;0.16;97.87;6.709;6.566;0.143;8.266;8.173;-8.445;0.50;-0.09;
2026-01-22 16:30:45.56;0.00:00:02:440;0.00;1.00;0.00;6.71;-0.02294;6.568;-0.01044;45.10;-0.05;97.87;0.16;97.87;6.71;6.568;0.1429;8.268;8.174;-8.451;0.50;-0.09;
2026-01-22 16:30:45.61;0.00:00:02:488;0.00;1.00;0.00;6.713;-0.02287;6.57;-0.0105;45.10;-0.05;97.86;0.16;97.86;6.713;6.57;0.1435;8.269;8.175;-8.433;0.50;-0.09;
2026-01-22 16:30:45.66;0.00:00:02:536;0.00;1.00;0.00;6.714;-0.02276;6.571;-0.0105;45.10;-0.05;97.87;0.16;97.87;6.714;6.571;0.1428;8.270;8.176;-8.453;0.50;-0.09;
2026-01-22 16:30:45.71;0.00:00:02:585;0.00;1.00;0.00;6.714;-0.02224;6.571;-0.01045;45.10;-0.05;97.88;0.16;97.88;6.714;6.571;0.1426;8.270;8.177;-8.460;0.50;-0.09;
2026-01-22 16:30:45.76;0.00:00:02:634;0.00;1.00;0.00;6.715;-0.02202;6.572;-0.01096;45.10;-0.05;97.87;0.16;97.87;6.715;6.572;0.1432;8.270;8.177;-8.439;0.50;-0.10;
2026-01-22 16:30:45.80;0.00:00:02:681;0.00;1.00;0.00;6.711;-0.02254;6.568;-0.01121;45.10;-0.05;97.87;0.17;97.87;6.711;6.568;0.1427;8.268;8.175;-8.455;0.50;-0.10;
2026-01-22 16:30:45.85;0.00:00:02:729;0.00;1.00;0.00;6.708;-0.02223;6.566;-0.01093;45.10;-0.05;97.87;0.16;97.87;6.708;6.566;0.1426;8.266;8.173;-8.458;0.50;-0.10;
2026-01-22 16:30:45.90;0.00:00:02:781;0.00;1.00;0.00;6.712;-0.02339;6.569;-0.01018;45.10;-0.04;97.87;0.15;97.87;6.712;6.569;0.1432;8.269;8.175;-8.441;0.50;-0.09;
2026-01-22 16:30:45.95;0.00:00:02:830;0.00;1.00;0.00;6.718;-0.02243;6.575;-0.01042;45.10;-0.05;97.87;0.16;97.87;6.718;6.575;0.1431;8.273;8.179;-8.444;0.50;-0.09;
2026-01-22 16:30:46.00;0.00:00:02:878;0.00;1.00;0.00;6.722;-0.02196;6.579;-0.01099;45.10;-0.05;97.87;0.16;97.87;6.722;6.579;0.143;8.275;8.182;-8.447;0.50;-0.10;
2026-01-22 16:30:46.05;0.00:00:02:927;0.00;1.00;0.00;6.725;-0.024;6.583;-0.009994;45.10;-0.04;97.89;0.15;97.89;6.725;6.583;0.1416;8.277;8.184;-8.488;0.50;-0.09;
2026-01-22 16:30:46.10;0.00:00:02:977;0.00;1.00;0.00;6.73;-0.02265;6.587;-0.01071;45.10;-0.05;97.88;0.16;97.88;6.73;6.587;0.1428;8.280;8.187;-8.453;0.50;-0.09;
2026-01-22 16:30:46.15;0.00:00:03:028;0.00;1.00;0.00;6.727;-0.0221;6.585;-0.01117;45.10;-0.05;97.88;0.17;97.88;6.727;6.585;0.1424;8.278;8.185;-8.466;0.50;-0.10;
2026-01-22 16:30:46.20;0.00:00:03:077;0.00;1.00;0.00;6.725;-0.02176;6.583;-0.01114;45.09;-0.05;97.88;0.17;97.88;6.725;6.583;0.1425;8.277;8.184;-8.461;0.50;-0.10;
2026-01-22 16:30:46.25;0.00:00:03:126;0.00;1.00;0.00;6.72;-0.02216;6.577;-0.01068;45.10;-0.05;97.88;0.16;97.88;6.72;6.577;0.1427;8.274;8.180;-8.455;0.50;-0.09;
2026-01-22 16:30:46.30;0.00:00:03:175;0.00;1.00;0.00;6.715;-0.02267;6.573;-0.01126;45.10;-0.05;97.88;0.17;97.88;6.715;6.573;0.1426;8.271;8.177;-8.458;0.50;-0.10;
2026-01-22 16:30:46.35;0.00:00:03:222;0.00;1.00;0.00;6.719;-0.02167;6.576;-0.01072;45.09;-0.05;97.86;0.16;97.86;6.719;6.576;0.1435;8.273;8.180;-8.430;0.50;-0.09;
2026-01-22 16:30:46.39;0.00:00:03:271;0.00;1.00;0.00;6.72;-0.02367;6.578;-0.009993;45.10;-0.04;97.88;0.15;97.88;6.72;6.578;0.1426;8.274;8.181;-8.459;0.50;-0.09;
2026-01-22 16:30:46.44;0.00:00:03:319;0.00;1.00;0.00;6.721;-0.02301;6.577;-0.01037;45.10;-0.05;97.87;0.15;97.87;6.721;6.577;0.1433;8.274;8.181;-8.437;0.50;-0.09;
2026-01-22 16:30:46.49;0.00:00:03:369;0.00;1.00;0.00;6.721;-0.02322;6.579;-0.01063;45.10;-0.05;97.89;0.16;97.89;6.721;6.579;0.1417;8.274;8.182;-8.488;0.50;-0.09;
2026-01-22 16:30:46.54;0.00:00:03:417;0.00;1.00;0.00;6.719;-0.02243;6.577;-0.01084;45.10;-0.05;97.88;0.16;97.88;6.719;6.577;0.1422;8.273;8.180;-8.472;0.50;-0.09;
2026-01-22 16:30:46.59;0.00:00:03:467;0.00;1.00;0.00;6.719;-0.02326;6.576;-0.01039;45.10;-0.05;97.88;0.15;97.88;6.719;6.577;0.1423;8.273;8.180;-8.468;0.50;-0.09;
2026-01-22 16:30:46.64;0.00:00:03:513;0.00;1.00;0.00;6.724;-0.02289;6.581;-0.01029;45.10;-0.04;97.87;0.15;97.87;6.724;6.581;0.1431;8.276;8.183;-8.442;0.50;-0.09;
2026-01-22 16:30:46.69;0.00:00:03:565;0.00;1.00;0.00;6.73;-0.02097;6.587;-0.01178;45.09;-0.05;97.88;0.18;97.88;6.73;6.587;0.1427;8.280;8.187;-8.455;0.50;-0.10;
2026-01-22 16:30:46.74;0.00:00:03:613;0.00;1.00;0.00;6.72;-0.02207;6.578;-0.01184;45.10;-0.05;97.90;0.18;97.90;6.72;6.578;0.1413;8.273;8.181;-8.498;0.50;-0.10;
2026-01-22 16:30:46.79;0.00:00:03:662;0.00;1.00;0.00;6.72;-0.02286;6.578;-0.01056;45.10;-0.05;97.88;0.16;97.88;6.72;6.578;0.1423;8.274;8.181;-8.468;0.50;-0.09;
2026-01-22 16:30:46.84;0.00:00:03:715;0.00;1.00;0.00;6.721;-0.02303;6.579;-0.01118;45.10;-0.05;97.89;0.17;97.89;6.721;6.579;0.142;8.274;8.181;-8.476;0.50;-0.10;
2026-01-22 16:30:46.89;0.00:00:03:764;0.00;1.00;0.00;6.724;-0.02258;6.583;-0.01082;45.10;-0.05;97.89;0.16;97.89;6.724;6.583;0.1418;8.277;8.184;-8.484;0.50;-0.09;
2026-01-22 16:30:46.94;0.00:00:03:812;0.00;1.00;0.00;6.719;-0.02167;6.576;-0.0115;45.09;-0.05;97.88;0.17;97.88;6.719;6.576;0.1428;8.273;8.180;-8.454;0.50;-0.10;
2026-01-22 16:30:46.98;0.00:00:03:861;0.00;1.00;0.00;6.714;-0.02253;6.571;-0.01082;45.10;-0.05;97.87;0.16;97.87;6.714;6.571;0.1431;8.270;8.176;-8.443;0.50;-0.09;
2026-01-22 16:30:47.03;0.00:00:03:911;0.00;1.00;0.00;6.714;-0.02306;6.572;-0.01017;45.10;-0.04;97.88;0.15;97.88;6.714;6.572;0.1425;8.270;8.177;-8.461;0.50;-0.09;
2026-01-22 16:30:47.08;0.00:00:03:957;0.00;1.00;0.00;6.704;-0.02197;6.562;-0.01125;45.10;-0.05;97.89;0.17;97.89;6.704;6.562;0.1417;8.263;8.170;-8.487;0.50;-0.10;
2026-01-22 16:30:47.13;0.00:00:04:007;0.00;1.00;0.00;6.695;-0.02298;6.554;-0.01107;45.10;-0.05;97.90;0.17;97.90;6.695;6.554;0.1408;8.257;8.165;-8.514;0.50;-0.10;
2026-01-22 16:30:47.18;0.00:00:04:056;0.00;1.00;0.00;6.706;-0.02298;6.563;-0.009907;45.10;-0.04;97.87;0.15;97.87;6.706;6.563;0.1429;8.264;8.171;-8.449;0.50;-0.09;
2026-01-22 16:30:47.23;0.00:00:04:105;0.00;1.00;0.00;6.716;-0.024;6.573;-0.009641;45.10;-0.04;97.87;0.14;97.87;6.716;6.573;0.143;8.271;8.177;-8.445;0.50;-0.08;
2026-01-22 16:30:47.28;0.00:00:04:152;0.00;1.00;0.00;6.735;-0.02372;6.591;-0.009324;45.10;-0.04;97.87;0.14;97.87;6.735;6.591;0.1436;8.283;8.190;-8.429;0.50;-0.08;
2026-01-22 16:30:47.32;0.00:00:04:201;0.00;1.00;0.00;6.737;-0.02213;6.595;-0.01115;45.10;-0.05;97.88;0.17;97.88;6.737;6.595;0.1427;8.285;8.192;-8.456;0.50;-0.10;
2026-01-22 16:30:47.38;0.00:00:04:254;0.00;1.00;0.00;6.708;-0.02193;6.567;-0.01232;45.10;-0.05;97.89;0.18;97.89;6.708;6.567;0.1413;8.266;8.173;-8.500;0.50;-0.11;
2026-01-22 16:30:47.43;0.00:00:04:302;0.00;1.00;0.00;6.7;-0.02207;6.558;-0.01087;45.10;-0.05;97.88;0.16;97.88;6.7;6.558;0.1421;8.261;8.168;-8.473;0.50;-0.09;
2026-01-22 16:30:47.47;0.00:00:04:350;0.00;1.00;0.00;6.695;-0.02251;6.553;-0.0111;45.10;-0.05;97.88;0.17;97.88;6.695;6.553;0.1419;8.257;8.164;-8.479;0.50;-0.10;
2026-01-22 16:30:47.52;0.00:00:04:400;0.00;1.00;0.00;6.695;-0.02255;6.552;-0.01014;45.10;-0.04;97.87;0.15;97.87;6.695;6.552;0.1425;8.257;8.164;-8.462;0.50;-0.09;
2026-01-22 16:30:47.57;0.00:00:04:447;0.00;1.00;0.00;6.7;-0.02372;6.558;-0.01007;45.10;-0.04;97.88;0.15;97.88;6.7;6.558;0.1419;8.261;8.168;-8.481;0.50;-0.09;
2026-01-22 16:30:47.62;0.00:00:04:497;0.00;1.00;0.00;6.712;-0.02346;6.569;-0.01001;45.10;-0.04;97.87;0.15;97.87;6.712;6.569;0.1432;8.269;8.175;-8.440;0.50;-0.09;
2026-01-22 16:30:47.67;0.00:00:04:543;0.00;1.00;0.00;6.717;-0.02379;6.575;-0.01063;45.10;-0.05;97.88;0.16;97.88;6.717;6.575;0.1421;8.272;8.179;-8.475;0.50;-0.09;
2026-01-22 16:30:47.72;0.00:00:04:592;0.00;1.00;0.00;6.724;-0.02356;6.581;-0.0104;45.10;-0.05;97.87;0.15;97.87;6.724;6.581;0.1432;8.276;8.183;-8.442;0.50;-0.09;
2026-01-22 16:30:47.77;0.00:00:04:643;0.00;1.00;0.00;6.719;-0.02179;6.578;-0.01208;45.09;-0.05;97.90;0.18;97.90;6.719;6.578;0.1412;8.273;8.181;-8.502;0.50;-0.11;
2026-01-22 16:30:47.82;0.00:00:04:692;0.00;1.00;0.00;6.7;-0.02316;6.557;-0.01057;45.10;-0.05;97.87;0.16;97.87;6.7;6.557;0.1425;8.261;8.167;-8.462;0.50;-0.09;
2026-01-22 16:30:47.87;0.00:00:04:742;0.00;1.00;0.00;6.701;-0.02227;6.559;-0.01087;45.10;-0.05;97.89;0.16;97.89;6.701;6.559;0.1416;8.261;8.169;-8.490;0.50;-0.09;
2026-01-22 16:30:47.92;0.00:00:04:793;0.00;1.00;0.00;6.691;-0.02263;6.549;-0.01064;45.10;-0.05;97.88;0.16;97.88;6.691;6.549;0.1419;8.255;8.162;-8.480;0.50;-0.09;
2026-01-22 16:30:47.97;0.00:00:04:842;0.00;1.00;0.00;6.692;-0.0235;6.55;-0.01055;45.10;-0.05;97.89;0.16;97.89;6.692;6.55;0.1414;8.255;8.162;-8.494;0.50;-0.09;
2026-01-22 16:30:48.02;0.00:00:04:892;0.00;1.00;0.00;6.701;-0.02283;6.559;-0.01032;45.10;-0.05;97.88;0.15;97.88;6.701;6.559;0.142;8.261;8.168;-8.476;0.50;-0.09;
2026-01-22 16:30:48.07;0.00:00:04:943;0.00;1.00;0.00;6.704;-0.02345;6.562;-0.01038;45.10;-0.05;97.89;0.15;97.89;6.704;6.562;0.1416;8.263;8.170;-8.488;0.50;-0.09;
2026-01-22 16:30:48.12;0.00:00:04:996;0.00;1.00;0.00;6.708;-0.02339;6.566;-0.01069;45.10;-0.05;97.88;0.16;97.88;6.708;6.566;0.1422;8.266;8.173;-8.471;0.50;-0.09;
2026-01-22 16:30:48.17;0.00:00:05:046;0.00;1.00;0.00;6.71;-0.02277;6.568;-0.01104;45.10;-0.05;97.88;0.16;97.88;6.71;6.568;0.1421;8.267;8.174;-8.473;0.50;-0.10;
2026-01-22 16:30:48.22;0.00:00:05:096;0.00;1.00;0.00;6.701;-0.02322;6.56;-0.01128;45.10;-0.05;97.89;0.17;97.89;6.701;6.56;0.1413;8.262;8.169;-8.499;0.50;-0.10;
2026-01-22 16:30:48.27;0.00:00:05:143;0.00;1.00;0.00;6.697;-0.02137;6.554;-0.01111;45.09;-0.05;97.87;0.17;97.87;6.697;6.555;0.1423;8.259;8.165;-8.466;0.50;-0.10;
2026-01-22 16:30:48.32;0.00:00:05:193;0.00;1.00;0.00;6.696;-0.02295;6.554;-0.01067;45.10;-0.05;97.87;0.16;97.87;6.696;6.554;0.1425;8.258;8.165;-8.461;0.50;-0.09;
2026-01-22 16:30:48.37;0.00:00:05:242;0.00;1.00;0.00;6.697;-0.02309;6.555;-0.01109;45.10;-0.05;97.88;0.17;97.88;6.697;6.555;0.1418;8.259;8.166;-8.483;0.50;-0.10;
2026-01-22 16:30:48.41;0.00:00:05:291;0.00;1.00;0.00;6.705;-0.0229;6.562;-0.01023;45.10;-0.04;97.86;0.15;97.86;6.705;6.562;0.1433;8.264;8.170;-8.438;0.50;-0.09;
2026-01-22 16:30:48.46;0.00:00:05:341;0.00;1.00;0.00;6.707;-0.02307;6.566;-0.01107;45.10;-0.05;97.89;0.17;97.89;6.707;6.566;0.1416;8.266;8.173;-8.488;0.50;-0.10;
2026-01-22 16:30:48.51;0.00:00:05:391;0.00;1.00;0.00;6.706;-0.02272;6.563;-0.01072;45.10;-0.05;97.87;0.16;97.87;6.706;6.563;0.1429;8.265;8.171;-8.449;0.50;-0.09;
2026-01-22 16:30:48.56;0.00:00:05:441;0.00;1.00;0.00;6.708;-0.02369;6.567;-0.0104;45.10;-0.05;97.90;0.16;97.90;6.708;6.567;0.1407;8.266;8.174;-8.517;0.50;-0.09;
2026-01-22 16:30:48.61;0.00:00:05:491;0.00;1.00;0.00;6.712;-0.02384;6.57;-0.01029;45.10;-0.04;97.89;0.15;97.89;6.712;6.57;0.1415;8.268;8.176;-8.493;0.50;-0.09;
2026-01-22 16:30:48.66;0.00:00:05:538;0.00;1.00;0.00;6.713;-0.02272;6.571;-0.01035;45.10;-0.05;97.88;0.15;97.88;6.713;6.571;0.1422;8.269;8.176;-8.471;0.50;-0.09;
2026-01-22 16:30:48.71;0.00:00:05:588;0.00;1.00;0.00;6.709;-0.0226;6.568;-0.01135;45.10;-0.05;97.90;0.17;97.89;6.709;6.568;0.1412;8.266;8.174;-8.501;0.50;-0.10;
2026-01-22 16:30:48.76;0.00:00:05:634;0.00;1.00;0.00;6.697;-0.02128;6.555;-0.0118;45.09;-0.05;97.88;0.18;97.88;6.697;6.555;0.1419;8.259;8.166;-8.479;0.50;-0.10;
2026-01-22 16:30:48.81;0.00:00:05:685;0.00;1.00;0.00;6.704;-0.02322;6.562;-0.01047;45.10;-0.05;97.89;0.16;97.89;6.704;6.562;0.1417;8.263;8.171;-8.485;0.50;-0.09;
2026-01-22 16:30:48.86;0.00:00:05:736;0.00;1.00;0.00;6.711;-0.02334;6.569;-0.0101;45.10;-0.04;97.88;0.15;97.88;6.711;6.569;0.1424;8.268;8.175;-8.465;0.50;-0.09;
2026-01-22 16:30:48.91;0.00:00:05:784;0.00;1.00;0.00;6.726;-0.02284;6.583;-0.01019;45.10;-0.04;97.87;0.15;97.87;6.726;6.583;0.143;8.277;8.184;-8.448;0.50;-0.09;
2026-01-22 16:30:48.96;0.00:00:05:835;0.00;1.00;0.00;6.726;-0.02366;6.583;-0.01051;45.10;-0.05;97.88;0.16;97.88;6.726;6.583;0.1426;8.277;8.184;-8.457;0.50;-0.09;
